county,town,residential_tax_mill_rate
Berkshire,New Marlborough,0.9%
Franklin,New Salem,1.9%
Essex,Newbury,1.0%
Essex,Newburyport,1.2%
Middlesex,Newton,1.1%
Norfolk,Norfolk,1.8%
Berkshire,North Adams,1.9%
Essex,North Andover,1.4%
Bristol,North Attleborough,1.4%
Worcester,North Brookfield,1.5%
Middlesex,North Reading,1.5%
Hampshire,Northampton,1.8%
Worcester,Northborough,1.6%
Worcester,Northbridge,1.4%
Franklin,Northfield,1.4%
Bristol,Norton,1.4%
Plymouth,Norwell,1.7%
Norfolk,Norwood,1.1%
Dukes,Oak Bluffs,0.7%
Worcester,Oakham,1.3%
Franklin,Orange,1.9%
Barnstable,Orleans,0.7%
Berkshire,Otis,0.8%
Worcester,Oxford,1.6%
Hampden,Palmer,2.0%
Worcester,Paxton,1.9%
Essex,Peabody,1.0%
Hampshire,Pelham,2.1%
Plymouth,Pembroke,1.4%
Middlesex,Pepperell,1.7%
Berkshire,Peru,1.8%
Worcester,Petersham,1.4%
Worcester,Phillipston,1.6%
Berkshire,Pittsfield,1.9%
Hampshire,Plainfield,2.0%
Norfolk,Plainville,1.4%
Plymouth,Plymouth,1.5%
Plymouth,Plympton,1.7%
Worcester,Princeton,1.6%
Barnstable,Provincetown,0.7%
Norfolk,Quincy,1.2%
Norfolk,Randolph,1.4%
Bristol,Raynham,1.5%
Middlesex,Reading,1.3%
Bristol,Rehoboth,1.3%
Suffolk,Revere,1.0%
Berkshire,Richmond,1.3%
Plymouth,Rochester,1.3%
Plymouth,Rockland,1.7%
Essex,Rockport,1.0%
Franklin,Rowe,0.5%
Essex,Rowley,1.5%
Worcester,Royalston,1.2%
Hampden,Russell,2.0%
Worcester,Rutland,1.6%
Essex,Salem,1.3%
Essex,Salisbury,1.1%
Berkshire,Sandisfield,1.3%
Barnstable,Sandwich,1.3%
Essex,Saugus,1.2%
Berkshire,Savoy,1.4%
Plymouth,Scituate,1.3%
Bristol,Seekonk,1.3%
Norfolk,Sharon,2.0%
Berkshire,Sheffield,1.2%
Franklin,Shelburne,1.4%
Middlesex,Sherborn,1.9%
Middlesex,Shirley,1.5%
Worcester,Shrewsbury,1.4%
Franklin,Shutesbury,2.2%
Bristol,Somerset,1.3%
Middlesex,Somerville,1.0%
Hampshire,South Hadley,1.6%
Hampshire,Southampton,1.5%
Worcester,Southborough,1.6%
Worcester,Southbridge,1.8%
Hampden,Southwick,1.7%
Worcester,Spencer,1.3%
Hampden,Springfield,1.9%
Worcester,Sterling,1.5%
Berkshire,Stockbridge,0.9%
Middlesex,Stoneham,1.0%
Norfolk,Stoughton,1.4%
Middlesex,Stow,2.0%
Worcester,Sturbridge,1.9%
Middlesex,Sudbury,1.8%
Franklin,Sunderland,1.5%
Worcester,Sutton,1.5%
Essex,Swampscott,1.3%
Bristol,Swansea,1.3%
Bristol,Taunton,1.3%
Worcester,Templeton,1.5%
Middlesex,Tewksbury,1.5%
Dukes,Tisbury,0.9%
Hampden,Tolland,0.9%
Essex,Topsfield,1.7%
Middlesex,Townsend,1.8%
Barnstable,Truro,0.8%
Middlesex,Tyngsborough,1.5%
Berkshire,Tyringham,0.7%
Worcester,Upton,1.7%
Worcester,Uxbridge,1.5%
Middlesex,Wakefield,1.2%
Hampden,Wales,1.9%
Norfolk,Walpole,1.4%
Middlesex,Waltham,1.1%
Hampshire,Ware,1.9%
Plymouth,Wareham,1.1%
Worcester,Warren,1.6%
Franklin,Warwick,2.1%
Berkshire,Washington,1.5%
Middlesex,Watertown,1.3%
