date_time,town,title,price,beds,sqft,url
2022-07-07 22:28, (SOMERVILLE),3 BEDROOM/UNION/CATS OK/GREENLINE/SUNROOM,3500,3,,https://boston.craigslist.org/gbs/apa/d/somerville-bedroom-union-cats-ok/7506116375.html
2022-07-07 22:18," (Huron Village, Cambridge)","Townhouse, Deck, Huron Village, No Fee",3200,3,900.0,https://boston.craigslist.org/gbs/apa/d/cambridge-townhouse-deck-huron-village/7506113768.html
2022-07-07 21:32, (Watertown Square),**Sun filled Unit with Granite & S/S in Prime Location with parking**,2200,2,,https://boston.craigslist.org/gbs/apa/d/watertown-sun-filled-unit-with-granite/7506101832.html
2022-07-07 21:08, (BRIGHTON),"A nice3bed1bath, Hdwd, HCeiling, No Fee, Sep 1st",2650,3,1000.0,https://boston.craigslist.org/gbs/apa/d/new-town-nice3bed1bath-hdwd-hceiling-no/7506095118.html
2022-07-07 21:03, (SOMERVILLE),3.5 BEDROOM HOUSE/INMAN/UNION SQ./PARKING/WHOLE FOODS,3600,3,,https://boston.craigslist.org/gbs/apa/d/somerville-35-bedroom-house-inman-union/7506093307.html
2022-07-07 20:57, (boston/cambridge/brookline),Well maintained 2 bed by Magoun Sq with parking!,2200,2,,https://boston.craigslist.org/gbs/apa/d/somerville-well-maintained-bed-by/7506091647.html
2022-07-07 20:54, (Kendall Square/East Cambridge),Beautiful NO FEE 2br in Kendall w washer/drier/dishwasher,3000,2,800.0,https://boston.craigslist.org/gbs/apa/d/cambridge-beautiful-no-fee-2br-in/7506090741.html
2022-07-07 20:37, (Cambridge),beautiful Apt near Harvard Sq,3200,2,1000.0,https://boston.craigslist.org/gbs/apa/d/somerville-beautiful-apt-near-harvard-sq/7506085517.html
2022-07-07 20:33, (Central Square),"1BR W/Bonus Room, Great Amenities, Steps to Central Sq",2700,1,,https://boston.craigslist.org/gbs/apa/d/cambridge-1br-bonus-room-great/7506084257.html
2022-07-07 20:28, (Central Square),"Oversized 1 BR, Great Amenities, PKG, Steps to Central Sq",2500,1,,https://boston.craigslist.org/gbs/apa/d/cambridge-oversized-br-great-amenities/7506082663.html
2022-07-07 20:25, (boston/cambridge/brookline),Well maintained 2 bed by Magoun Sq with parking!,2200,2,,https://boston.craigslist.org/gbs/apa/d/somerville-well-maintained-bed-by/7506081657.html
2022-07-07 20:22, (boston/cambridge/brookline),"Beautifully Renovated 2BR, Gorgeous kitchen, SS Appliances, Hardwoods",3150,2,,https://boston.craigslist.org/gbs/apa/d/somerville-beautifully-renovated-2br/7506080677.html
2022-07-07 20:12, (Newtonville),"Spacious Deleaded, Large Yard, W/D",3200,2,,https://boston.craigslist.org/bmw/apa/d/newtonville-spacious-deleaded-large/7506077355.html
